GAMMA1ALPHA0.7EPSILON0
270_420_9:1:0
270_420_9:0:-2.83085
180_-150_15:1:0
180_-150_15:0:0
480_390_9:1:0
480_390_9:0:-8.80301e-19
435_300_14:1:0
435_300_14:0:0
450_345_12:1:0
450_345_12:0:0
480_420_8:1:-6.02586e-06
480_420_8:0:-1.04887e-16
450_480_4:1:0
450_480_4:0:-3.15146e-37
495_465_-5:1:0
495_465_-5:0:-4.54988e-12
495_450_-6:1:0
495_450_-6:0:0
450_285_13:1:-0.00408111
450_285_13:0:-2.32997e-18
255_-195_9:1:0
255_-195_9:0:0
480_480_-3:1:-3.03498e-06
480_480_-3:0:-2.29733e-06
450_-30_-3:1:0
450_-30_-3:0:-4.32868e-15
285_-315_13:1:0
285_-315_13:0:-210
300_-315_12:1:0
300_-315_12:0:0
300_-300_12:1:0
300_-300_12:0:0
315_-240_9:1:0
315_-240_9:0:0
495_465_5:1:-1.56818e-06
495_465_5:0:-4.87097e-14
285_-120_23:1:0
285_-120_23:0:0
270_-105_10:1:0
270_-105_10:0:0
420_45_21:1:0
420_45_21:0:0
450_225_16:1:0
450_225_16:0:0
435_75_20:1:0
435_75_20:0:0
480_315_12:1:0
480_315_12:0:0
420_-45_23:1:0
420_-45_23:0:0
420_-30_23:1:0
420_-30_23:0:0
420_30_21:1:0
420_30_21:0:0
435_60_20:1:0
435_60_20:0:0
435_90_20:1:0
435_90_20:0:0
435_105_19:1:0
435_105_19:0:0
450_135_18:1:0
450_135_18:0:0
450_195_17:1:0
450_195_17:0:0
450_210_16:1:0
450_210_16:0:0
465_225_16:1:0
465_225_16:0:0
465_270_14:1:0
465_270_14:0:0
465_285_14:1:0
465_285_14:0:0
480_300_13:1:0
480_300_13:0:0
480_315_13:1:0
480_315_13:0:0
495_360_11:1:0
495_360_11:0:0
465_270_13:1:-0.000494197
465_270_13:0:-6.20865e-16
255_-195_14:1:0
255_-195_14:0:0
255_-150_13:1:0
255_-150_13:0:0
300_-285_11:1:0
300_-285_11:0:0
255_-135_12:1:0
255_-135_12:0:0
315_-135_11:1:0
315_-135_11:0:0
315_-120_11:1:0
315_-120_11:0:0
330_-90_9:1:0
330_-90_9:0:0
465_-45_-4:1:0
465_-45_-4:0:0
465_495_2:1:-1.13122e-07
465_495_2:0:-2.03393e-06
465_-270_15:1:0
465_-270_15:0:0
375_-15_20:1:0
375_-15_20:0:0
420_390_10:1:-0.000825656
420_390_10:0:-2.14935e-18
405_-60_23:1:0
405_-60_23:0:0
405_15_21:1:0
405_15_21:0:0
435_135_18:1:0
435_135_18:0:0
450_225_15:1:0
450_225_15:0:0
465_315_12:1:0
465_315_12:0:0
495_405_7:1:-1.41631e-09
495_405_7:0:-1.1207e-10
435_-45_22:1:0
435_-45_22:0:0
450_45_20:1:0
450_45_20:0:0
465_120_18:1:0
465_120_18:0:0
465_150_17:1:0
465_150_17:0:0
480_225_15:1:0
480_225_15:0:0
495_270_13:1:0
495_270_13:0:0
